CAS RN,Chemical name,Australian Inventory of Industrial Chemicals (Inventory) listing,Safe Work Australia HCIS,ECHA Annex VI CLP,International Agency for Research on Cancer,United States National Toxicology Program Report on Carcinogens,European Commission Endocrine Disruptor Strategy,United Nations Environment Programme EDC,Government of Canada Toxic Substances List,ECHA Annex XIV,EU Substances of Very High Concern,Chemical Substance Control Law Japan,European Commission Endocrine Disruptor List,Date entry was added to the list
56-55-3,benz[a]anthracene,-,Carcinogenicity 1B H350; Aquatic (chronic) 1 H410,Carc. 1B H350; Aquatic Chronic 1 H410,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,Carcinogenic (Article 57a); PBT (Article 57d); vPvB (Article 57e),-,-,24-September-2024
56-72-4,"coumaphos (ISO); O-3-chloro-4-methylcoumarin-7-yl O,O-diethyl phosphorothioate",-,Aquatic (chronic) 1 H410,Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,24-September-2024
56-75-7,Chloramphenicol,-,-,-,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
57-14-7,"1,1-Dimethylhydrazine",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
57-24-9,strychnine,-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
57-41-0,Phenytoin,-,-,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
57-57-8,b-Propiolactone,Listed - public,Carcinogenicity 1B H350; Mutagenicity 1B H340,Carc. 1B H350,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
57-63-6,"Ethinylestradiol (see Estrogens, Steroidal)",-,-,-,-,Known human carcinogen,-,-,-,-,-,-,-,24-September-2024
57-74-9,Chlordane,-,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,Group 2B,-,Category 1,-,-,-,-,Class I,-,01-July-2020
57-83-0,Progesterone,-,-,-,-,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
58-55-9,"theophylline; 1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione",Listed - Public,-,Repr. 1B H360D,-,-,-,-,-,-,-,-,-,24-September-2024
58-89-9,Gamma-HCH = Lindane,-,Reproductive toxicity (lactation) H362; Aquatic (chronic) 1 H410,Lact. H362; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 1,Reasonably anticipated to be a known human carcinogen,Category 1,-,-,-,-,Class I,-,01-July-2020
58-90-2,"2,3,4,6-tetrachlorophenol",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
58-93-5,Hydrochlorothiazide,-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
59-50-7,"chlorocresol;
4-chloro-m-cresol;
4-chloro-3-methylphenol",Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
59-88-1,phenylhydrazinium chloride,Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350; Muta. 2 H341; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
59-89-2,N-Nitrosomorpholine,-,-,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
60-09-3,para-Aminoazobenzene,Listed - public,Carcinogenicity 1B H350; Mutagenicity 1B H340; Aquatic (chronic) 1 H410,Carc. 1B H350; Aquatic Acute I H400; Aquatic Chronic 1 H410,Group 2B,-,-,-,-,-,Carcinogenic (Article 57a),-,-,01-July-2020
60-11-7,para-Dimethylaminoazobenzene,Listed - public,-,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
60-34-4,methylhydrazine,Listed - public,Carcinogenicity 1B H350,Carc. 1B H350,-,-,-,-,-,-,-,-,-,01-July-2020
60-35-5,Acetamide,Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
60-57-1,dieldrin (ISO),-,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,Group 2A,-,-,-,-,-,-,Class I,-,01-July-2020
61-57-4,Niridazole,-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
61-82-5,Amitrole,Listed - public,Reproductive toxicity 2 H361d,Repr. 2 H361d,Group 3,Reasonably anticipated to be a known human carcinogen,Category 1,-,-,-,-,-,-,01-July-2020
62-38-4,phenylmercury acetate,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
62-44-2,Phenacetin,Listed - public,-,-,Group 1,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
62-50-0,Ethylmethanesulfonate,Listed - public,-,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
62-53-3,aniline,Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341; Aquatic (acute) 1 H400,Carc. 2 H351; Muta. 2 H341; Aquatic Acute 1 H400,Group 3,-,-,-,-,-,-,-,-,01-July-2020
62-55-5,Thioacetamide,Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
62-56-6,Thiourea,Listed - public,Carcinogenicity 2 H351; Reproductive toxicity 2 H361d,Carc. 2 H351; Repr. 2 H361d,Group 3,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
62-73-7,Dichlorvos,-,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
62-74-8,sodium fluoroacetate,-,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
62-75-9,N-Nitrosodimethylamine,Listed - public,Carcinogenicity 1B H350,Carc. 1B H350,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
63-25-2,Carbaryl,-,Carcinogenicity 2 H351; Aquatic (acute) 1 H400,Carc. 2 H351; Aquatic Acute 1 H400,Group 3,-,-,-,-,-,-,-,-,01-July-2020
63-92-3,Phenoxybenzamine hydrochloride,-,-,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
64-17-5,Ethanol in alcoholic beverages,Listed - public,-,-,Group 1,-,-,-,-,-,-,-,-,01-July-2020
64-67-5,"Sulfuric acid, diethyl ester",Listed - public,Carcinogenicity 1B H350; Mutagenicity 1B H340,Carc. 1B H350; Muta. 1B H340,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,Carcinogenic (Article 57a); Mutagenic (Article 57b),-,-,01-July-2020
64-86-8,colchicine,-,Mutagenicity 1B H340,Muta. 1B H340,-,-,-,-,-,-,-,-,-,01-July-2020
65-87-3,"2,2-Bis(4-hydroxyphenyl)propan = 4,4'-
isopropylidenediphenol = Bisphenol A",-,-,-,-,-,-,-,-,-,-,-,-,01-July-2020
66-27-3,Methyl methanesulfonate,Listed - public,-,-,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
66-71-7,"1,10-phenanthroline",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
66-75-1,Uracil mustard,-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
66-81-9,"cycloheximide (ISO);  4-{}{(2R)-2-[(1S,3S,5S)-3,5-dimethyl-2-oxocyclohexyl]-2-hydroxyethyl}}piperidine-2,6-dione",Listed - public,Mutagenicity 2 H341; Reproductive toxicity 1B H360D,Muta. 2 H341; Repr. 1B H360D,-,-,-,-,-,-,-,-,-,01-July-2020
67-43-6,N-carboxymethyliminobis(ethylenenitrilo)tetra(acetic acid),Listed - Public,-,Repr. 1B H360D,-,-,-,-,-,-,-,-,-,24-September-2024
67-66-3,"chloroform; trichloromethane; Methane, trichloro-",Listed - public,Carcinogenicity 2 H351,Carc. 2 H351; Repr. 2 H361d,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
67-72-1,"Ethane, hexachloro-",Listed - public,Carcinogenicity 2 H351,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
67-97-0,Cholecalciferol,Listed - Public,-,-,-,-,-,-,-,-,-,-,Endocrine disrupting properties (human health and environment) ,24-September-2024
68-12-2,"N,N-dimethylformamide;  dimethyl formamide",Listed - public,Reproductive toxicity 1B H360,Repr. 1B H360D,Group 2A,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,01-July-2020
68-22-4,Norethisterone,-,-,-,-,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
69-72-7,salicylic acid,Listed - public,-,Repr. 2 H361d,-,-,-,-,-,-,-,-,-,01-July-2020
70-25-7,1-methyl-3-nitro-1-nitrosoguanidine,-,Carcinogenicity 1B H350,Carc. 1B H350,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
70-30-4,"2,2'-methylenebis-(3,4,6-trichlorophenol); hexachlorophene; Phenol, 2,2'-methylenebis[3,4,6-trichloro-",Listed - public,Reproductive toxicity 2 H361d; Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 3,-,-,-,-,-,-,-,-,01-July-2020
71-43-2,Benzene,Listed - public,Carcinogenicity 1A H350; Mutagenicity 1B H340,Carc. 1B H350; Muta. 1B H340,Group 1,Known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
71-48-7,"cobalt acetate; Acetic acid, cobalt(2+) salt",Listed - public,Carcinogenicity 1A H350; Reproductive toxicity 1B H360F; Aquatic (chronic) 1 H410,Carc. 1B H350; Muta. 2 H341; Repr. 1B H361F; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,Carcinogenic (Article 57a); Toxic for reproduction (Article 57c),-,-,01-July-2020
71-55-6,"1,1,1-Trichloroethane",Listed - public,-,-,Group 3,-,-,-,Schedule 1,-,-,-,-,01-July-2020
71-58-9,Medroxyprogesterone acetate,-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
72-20-8,"endrin (ISO);  1,2,3,4,10,10-hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-1,4:5,8-dimethanonaphthalene",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 3,-,-,-,-,-,-,Class I,-,01-July-2020
72-33-3,"Mestranol (see Estrogens, Steroidal)",-,-,-,-,Known human carcinogen,-,-,-,-,-,-,-,24-September-2024
72-57-1,"2,7-Naphthalenedisulfonic acid, 3,3'-[(3,3'-dimethyl[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[5-amino-4-hydroxy-, tetrasodium salt",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
74-83-9,Methyl bromide,Listed - public,Mutagenicity 2 H341; Aquatic (acute) 1 H400,Muta. 2 H341; Aquatic Acute 1 H400,Group 3,-,-,-,Schedule 1,-,-,-,-,01-July-2020
74-87-3,"chloromethane;   methyl chloride; Methane, chloro-",Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 3,-,-,-,-,-,-,-,-,01-July-2020
74-88-4,"methyl iodide;   iodomethane; Methane, iodo-",Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 3,-,-,-,-,-,-,-,-,01-July-2020
74-90-8,hydrogen cyanide ...%;  hydrocyanic acid ...%,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
74-93-1,methanethiol;  methyl mercaptan,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
74-96-4,bromoethane,Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 3,-,-,-,-,-,-,-,-,01-July-2020
75-00-3,chloroethane,Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 3,-,-,-,-,-,-,-,-,01-July-2020
75-01-4,Vinyl chloride,Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1A H350,Group 1,Known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
75-02-5,"Ethene, fluoro-",Listed - public,Carcinogenicity 1B H350,-,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
75-07-0,Acetaldehyde,Listed - public,Carcinogenicity 2 H351; Mutagenicity 2 H341,Carc. 1B H350; Muta. 2 H341,Group 1,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
75-08-1,ethanethiol;  ethyl mercaptan,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
75-09-2,Dichloromethane,Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
75-12-7,Formamide,Listed - public,Reproductive toxicity 1B H360Df,Repr. 1B H360D,-,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,01-July-2020
75-15-0,Carbon disulphide,Listed - public,Reproductive toxicity 2 H361fd,Repr. 2 H361fd,-,-,-,Identified EDC,-,-,-,-,-,01-July-2020
75-21-8,Ethylene oxide,Listed - public,Carcinogenicity 1B H350; Mutagenicity 1B H340,Carc. 1B H350; Muta. 1B H340,Group 1,Known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
75-26-3,"2-bromopropane; Propane, 2-bromo-",Listed - public,Reproductive toxicity 1A H360F,Repr. 1A H360F,-,-,-,-,-,-,-,-,-,01-July-2020
75-27-4,Bromodichloromethane,-,-,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
75-28-5,"isobutane (containing ≥ 0,1 % butadiene (203-450-8))",Listed - public,Carcinogenicity 1B H350; Mutagenicity 1B H340,Carc. 1B H350; Muta. 1B H340,-,-,-,-,-,-,-,-,-,01-July-2020
75-35-4,"1,1-dichloroethylene; vinylidene chloride; Ethene, 1,1-dichloro-",Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
75-52-5,Nitromethane,Listed - public,-,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
75-55-8,"2-methylaziridine; propyleneimine; Aziridine, 2-methyl-",Listed - public,Carcinogenicity 1B H350; Mutagenicity 1B H340,Carc. 1B H350,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
75-56-9,Methyloxirane,Listed - public,Carcinogenicity 1B H350; Mutagenicity 1B H340,Carc. 1B H350; Muta. 1B H340,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,Carcinogenic (Article 57a); Mutagenic (Article 57b),-,-,01-July-2020
75-60-5,Dimethylarsinic acid,-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
75-74-1,"Plumbane, tetramethyl-",Listed - public,Carcinogenicity 2 H351; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,-,-,-,01-July-2020
75-86-5,2-hydroxy-2-methylpropionitrile;  2-cyanopropan-2-ol;  acetone cyanohydrin,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
75-87-6,Chloral,-,-,-,Group 2A,-,-,-,-,-,-,-,-,01-July-2020
75-91-2,"Hydroperoxide, 1,1-dimethylethyl; tert-butyl hydroperoxide",Listed - public,Mutagenicity 2 H341,Muta. 2 H341,-,-,-,-,-,-,-,-,-,01-July-2020
75-96-7,Tribromoacetic Acid (see Selected Haloacetic Acids Found as Water Disinfection By-Products),-,-,-,-,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,24-September-2024
76-01-7,"pentachloroethane; Ethane, pentachloro-",Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 3,-,-,-,-,-,-,-,-,01-July-2020
76-03-9,TCA (ISO),Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
76-44-8,"heptachlor (ISO);  1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-4,7-methanoindene",-,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,Group 2B,-,-,-,-,-,-,Class I,-,01-July-2020
76-87-9,fentin hydroxide (ISO);  triphenyltin hydroxide,Listed - public,Carcinogenicity 2 H351; Reproductive toxicity 2 H361d; Aquatic (chronic) 1 H410,Carc. 2 H351; Repr. 2 H361d; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,Class II,-,01-July-2020
77-09-8,phenolphthalein,Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341; Reproductive toxicity 2 H361f,Carc. 1B H350; Muta. 2 H341; Repr. 2 H361f,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,Carcinogenic (Article 57a),-,-,01-July-2020
77-40-7,"4,4'-(1-methylpropylidene)bisphenol: Bisphenol B",-,-,-,-,-,-,-,-,-,Endocrine disrupting properties (Article 57(f) - human health),-,Endocrine disrupting properties (human health and environment) ,24-September-2024
77-47-4,hexachlorocyclopentadiene,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
77-58-7,"Stannane, dibutylbis[(1-oxododecyl)oxy]-",Listed - public,Mutagenicity 2 H341; Reproductive toxicity 1B H360FD,Muta. 2 H341; Repr. 1B H360FD,-,-,-,-,-,-,-,-,-,01-July-2020
77-78-1,"Sulfuric acid, dimethyl ester",Listed - public,Carcinogenicity 1B H350; Mutagenicity 2 H341,Carc. 1B H350; Muta. 2 H341,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,Carcinogenic (Article 57a),-,-,01-July-2020
78-00-2,"Plumbane, tetraethyl-",Listed - public,Carcinogenicity 2 H351; Reproductive toxicity 1A H360Df,-,-,-,-,-,-,-,Toxic for reproduction (Article 57c),-,-,01-July-2020
78-06-8,"Dibutyltin mercaptopropionate
; 6H-1,3,2-Oxathiastannin-6-one, 2,2-dibutyldihydro-",Listed - Public,Mutagenicity 2 H341; Reproductive toxicity 2 H361fd,-,-,-,-,-,-,-,-,-,-,24-September-2024
78-30-8,"tricresyl phosphate (o-o-o-, o-o-m-, o-o-p-, o-m-m-, o-m-p-, o-p-p-); tritolyl phosphate (o-o-o-, o-o-m-, o-o-p-, o-m-m-, o-m-p-, o-p-p-); Phosphoric acid, tris(2-methylphenyl) ester",Listed - Public,Reproductive toxicity 1B H360F,-,-,-,-,-,-,-,-,-,-,24-September-2024
78-32-0,"tricresyl phosphate (m-m-m-, m-m-p-, m-p-p-, p-p-p-); tritolyl phosphate (m-m-m-, m-m-p-, m-p-p-, p-p-p-); Phosphoric acid, tris(4-methylphenyl) ester",Listed - Public,Reproductive toxicity 2 H361f,-,-,-,-,-,-,-,-,-,-,24-September-2024
78-34-2,"dioxathion (ISO);  1,4-dioxan-2,3-diyl-O,O,O',O'-tetraethyl di(phosphorodithioate)",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
78-59-1,"3,5,5-trimethylcyclohex-2-enone;  isophorone",Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,-,-,-,-,-,-,-,-,-,01-July-2020
78-79-5,"1,3-Butadiene, 2-methyl-",Listed - public,Carcinogenicity 1A H350; Mutagenicity 2 H341; Reproductive toxicity 2 H361fd,Carc. 1B H350; Muta. 2 H341,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
78-87-5,"1,2-dichloropropane; propylene dichloride",Listed - public,Carcinogenicity 1B H350,Carc. 1B H350,Group 1,-,-,-,-,-,-,-,-,01-July-2020
78-88-6,"2,3-dichloropropene;  2,3-dichloropropylene",-,Mutagenicity 2 H341,Muta. 2 H341,-,-,-,-,-,-,-,-,-,01-July-2020
79-00-5,"1,1,2-trichloroethane",Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 3,-,-,-,-,-,-,-,-,01-July-2020
